line,subject,tier2,tier3,tier1,tmin,tmax
315,CF36WOM_12,clause31_exp-s2,exp,"""n""",254.185,254.307
316,CF36WOM_12,clause71-s1,sub,la da ad agosto,254.307,255.375
317,CF36WOM_12,clause32_exp-s1,exp,"""avete fatto una"" ",255.375,256.098
318,CF36WOM_12,len,f,:::a,256.098,256.199
319,CF36WOM_12,clause32_exp-s2,exp,"""festa?""",256.199,256.694
320,CF36WOM_12,clause72-s1,sub,ad agosto faremo la festa,256.694,258.092
321,CF36WOM_12,clause33_exp-s1,exp,"""ah ad agosto compie dicio""",258.092,259.335
322,CF36WOM_12,ove,?,[],259.335,260.654
323,CF36WOM_12,clause34_exp-s1,exp,"""che cosa vorreste fare?""",260.654,261.954
324,CF36WOM_12,clause73-s1,sub,e no lui,261.954,262.541
325,CF36WOM_12,len,f,:::i,262.541,263.232
326,CF36WOM_12,len,s,:::m,263.232,263.427
327,CF36WOM_12,clause73-s2,sub,mi ha proposto di fare una festa,263.427,264.942
328,CF36WOM_12,len,f,:::a,264.942,265.368
329,CF36WOM_12,clause73-s3,sub,sulla spiaggia con gli amici,265.368,266.777
330,CF36WOM_12,silV-e,?,(.)v,266.777,268.02
331,CF36WOM_12,clause35_exp-s1,exp,"""va bene""",268.02,268.822
332,CF36WOM_12,noise,?,{noise},268.822,271.669
